Name,PV_File,WIND_File
MAR_MENOR_SUR,PV_MAR_MENOR_SUR_20150101-20241231_merra2_67d63df8fd.csv,Wind_MAR_MENOR_SUR_20150101-20241231_merra2_a6d7f2589a.csv
ARAZURI,PV_ARAZURI_20150101-20241231_merra2_4f434c11f1.csv,Wind_ARAZURI_20150101-20241231_merra2_a6d7f2589a.csv
Crispijana,PV_Crispijana_20150101-20241231_merra2_22bbff71ab.csv,Wind_Crispijana_20150101-20241231_merra2_a6d7f2589a.csv
Loiola,PV_Loiola_20150101-20241231_merra2_262f03df89.csv,Wind_Loiola_20150101-20241231_merra2_a6d7f2589a.csv
Galindo,PV_Galindo_20150101-20241231_merra2_262f03df89.csv,Wind_Galindo_20150101-20241231_merra2_a6d7f2589a.csv
LOGROÑO,PV_LOGROÑO_20150101-20241231_merra2_afebd23a41.csv,Wind_LOGROÑO_20150101-20241231_merra2_a6d7f2589a.csv
ZARAGOZA_LA_CARTUJA,PV_ZARAGOZA_LA_CARTUJA_20150101-20241231_merra2_fb4b213c8b.csv,Wind_ZARAGOZA_LA_CARTUJA_20150101-20241231_merra2_a6d7f2589a.csv
GIJON_OESTE,PV_GIJON_OESTE_20150101-20241231_merra2_29a7b1e5d0.csv,Wind_GIJON_OESTE_20150101-20241231_merra2_a6d7f2589a.csv
VILLAPEREZ,PV_VILLAPEREZ_20150101-20241231_merra2_164424b95e.csv,Wind_VILLAPEREZ_20150101-20241231_merra2_a6d7f2589a.csv
PALMA_II,PV_PALMA_II_20150101-20241231_merra2_06947320cb.csv,Wind_PALMA_II_20150101-20241231_merra2_a6d7f2589a.csv
PALMA_I,PV_PALMA_I_20150101-20241231_merra2_1638ed9587.csv,Wind_PALMA_I_20150101-20241231_merra2_a6d7f2589a.csv
SAN_PANTALEON,PV_SAN_PANTALEON_20150101-20241231_merra2_2b4023284b.csv,Wind_SAN_PANTALEON_20150101-20241231_merra2_a6d7f2589a.csv
SAN_ROMÁN,PV_SAN_ROMÁN_20150101-20241231_merra2_2b4023284b.csv,Wind_SAN_ROMÁN_20150101-20241231_merra2_a6d7f2589a.csv
VUELTA_OSTRERA,PV_VUELTA_OSTRERA_20150101-20241231_merra2_164424b95e.csv,Wind_VUELTA_OSTRERA_20150101-20241231_merra2_a6d7f2589a.csv
BURGOS,PV_BURGOS_20150101-20241231_merra2_f789d74f1b.csv,Wind_BURGOS_20150101-20241231_merra2_a6d7f2589a.csv
LEON,PV_LEON_20150101-20241231_merra2_a91a5be34d.csv,Wind_LEON_20150101-20241231_merra2_a6d7f2589a.csv
SALAMANCA,PV_SALAMANCA_20150101-20241231_merra2_a542c095cd.csv,Wind_SALAMANCA_20150101-20241231_merra2_a6d7f2589a.csv
VALLADOLID,PV_VALLADOLID_20150101-20241231_merra2_fb4b213c8b.csv,Wind_VALLADOLID_20150101-20241231_merra2_a6d7f2589a.csv
ALCAZAR_DE_SAN_JUAN-CAMPO_DE_CRIPTANA,PV_ALCAZAR_DE_SAN_JUAN-CAMPO_DE_CRIPTANA_20150101-20241231_merra2_75de5946c6.csv,Wind_ALCAZAR_DE_SAN_JUAN-CAMPO_DE_CRIPTANA_20150101-20241231_merra2_a6d7f2589a.csv
LLAGOSTA_LA,PV_LLAGOSTA_LA_20150101-20241231_merra2_932a0cca2d.csv,Wind_LLAGOSTA_LA_20150101-20241231_merra2_a6d7f2589a.csv
MONTCADA,PV_MONTCADA_20150101-20241231_merra2_932a0cca2d.csv,Wind_MONTCADA_20150101-20241231_merra2_a6d7f2589a.csv
PRAT_DE_LLOBREGAT_EL,PV_PRAT_DE_LLOBREGAT_EL_20150101-20241231_merra2_0590dda631.csv,Wind_PRAT_DE_LLOBREGAT_EL_20150101-20241231_merra2_a6d7f2589a.csv
SANT_FELIU_DE_LLOBREGAT,PV_SANT_FELIU_DE_LLOBREGAT_20150101-20241231_merra2_389cfb5f4e.csv,Wind_SANT_FELIU_DE_LLOBREGAT_20150101-20241231_merra2_a6d7f2589a.csv
TP_36_of_Helsingin_kt,PV_TP_36_of_Helsingin_kt_20150101-20241231_merra2_66fe5cfdc5.csv,Wind_TP_36_of_Helsingin_kt_20150101-20241231_merra2_a6d7f2589a.csv
TP_101_of_Helsingin_kt,PV_TP_101_of_Helsingin_kt_20150101-20241231_merra2_66fe5cfdc5.csv,Wind_TP_101_of_Helsingin_kt_20150101-20241231_merra2_a6d7f2589a.csv
LILLE-MARQUETTE-LEZ-LILLE,PV_LILLE-MARQUETTE-LEZ-LILLE_20150101-20241231_merra2_5f797a9ee1.csv,Wind_LILLE-MARQUETTE-LEZ-LILLE_20150101-20241231_merra2_a6d7f2589a.csv
MAXEVILLE,PV_MAXEVILLE_20150101-20241231_merra2_d7147aef93.csv,Wind_MAXEVILLE_20150101-20241231_merra2_a6d7f2589a.csv
METZ,PV_METZ_20150101-20241231_merra2_518e9398da.csv,Wind_METZ_20150101-20241231_merra2_a6d7f2589a.csv
STRASBOURG_-_LA_WANTZENAU,PV_STRASBOURG_-_LA_WANTZENAU_20150101-20241231_merra2_cb478c541d.csv,Wind_STRASBOURG_-_LA_WANTZENAU_20150101-20241231_merra2_a6d7f2589a.csv
SAUSHEIM,PV_SAUSHEIM_20150101-20241231_merra2_07b5335b00.csv,Wind_SAUSHEIM_20150101-20241231_merra2_a6d7f2589a.csv
MONDEVILLE,PV_MONDEVILLE_20150101-20241231_merra2_fe09ef0dd2.csv,Wind_MONDEVILLE_20150101-20241231_merra2_a6d7f2589a.csv
REIMS,PV_REIMS_20150101-20241231_merra2_71847e0d00.csv,Wind_REIMS_20150101-20241231_merra2_a6d7f2589a.csv
